trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.1999999999999995, 'e': 0.2967100142940453}",30,8,11.584774668682735,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.1999999999999995, 'e': 0.2922925776808594}",25,19,-12.891429139269556,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
84,False,"{'a': 0.1999999999999995, 'e': 0.2879409081307703}",25,13,17.503125415349693,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.1999999999999995, 'e': 0.2836540264997704}",20,5,-14.688255202876778,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
86,False,"{'a': 0.1999999999999995, 'e': 0.27943096822140734}",20,13,6.213251758814192,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1999999999999995, 'e': 0.27527078308975234}",20,15,-32.3186822737781,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.1999999999999995, 'e': 0.2711725350455999}",25,13,21.071508530457418,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1999999999999995, 'e': 0.2671353019658504}",25,8,-9.506180698829844,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.1999999999999995, 'e': 0.2631581754560287}",20,12,-29.917196263303747,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.1999999999999995, 'e': 0.25924026064589156}",35,0,-44.495450582524995,"{0: 30, 1: 0, 2: 3, 3: 1, 4: 1}",0
92,False,"{'a': 0.1999999999999995, 'e': 0.2553806759880777}",25,0,-87.85839942503479,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
93,False,"{'a': 0.1999999999999995, 'e': 0.2515785530597565}",20,5,16.377553464129495,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.1999999999999995, 'e': 0.24783303636722875}",20,14,12.944810072663534,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
